noun,gender,lang
abaca,masculine,French
abacost,masculine,French
abaissement,masculine,French
abaisseur,masculine,French
abandonnataire,masculine,French
abandonnateur,masculine,French
abandonneur,masculine,French
aâda,feminine,French
Aalandaise,feminine,French
Aar,feminine,French
abaisse,feminine,French
abandonnataire,feminine,French
abandonneuse,feminine,French
abasie,feminine,French
abatée,feminine,French
abattée,feminine,French
abatture,feminine,French
abattures,feminine,French
abaya,feminine,French
abbatiale,feminine,French
abbaye,feminine,French
abbesse,feminine,French
Abbevilloise,feminine,French
Abby,feminine,French
abcédation,feminine,French
abcédographie,feminine,French
abdication,feminine,French
abduction,feminine,French
abée,feminine,French
abeille,feminine,French
abélie,feminine,French
abat,masculine,French
abatacept,masculine,French
abatant,masculine,French
abâtardissement,masculine,French
abats,masculine,French
abattage,masculine,French
abattant,masculine,French
abattement,masculine,French
abatteur,masculine,French
abbé,masculine,French
abcès,masculine,French
abdomen,masculine,French
Abdoul,masculine,French
abducteur,masculine,French
abécédaire,masculine,French
abeillage,masculine,French
abeiller,masculine,French
abeillier,masculine,French
Abel,masculine,French
abélite,masculine,French
abélonien,masculine,French
abénaquis,masculine,French
aber,masculine,French
abélite,feminine,French
Abelone,feminine,French
abelsonite,feminine,French
Abénaquise,feminine,French
Aberdeen,feminine,French
aberrance,feminine,French
aberration,feminine,French
abiétacée,feminine,French
abiétacées,feminine,French
abiétaie,feminine,French
abiogenèse,feminine,French
Abitibienne,feminine,French
abjection,feminine,French
abjuration,feminine,French
Abkhaze,feminine,French
Abkhazie,feminine,French
ablactation,feminine,French
ablastine,feminine,French
ablation,feminine,French
ablépharie,feminine,French
ablette,feminine,French
Ablon,feminine,French
abnégation,feminine,French
abolition,feminine,French
abolitioniste,feminine,French
abolitionniste,feminine,French
Aboméenne,feminine,French
abomination,feminine,French
abondance,feminine,French
abonnée,feminine,French
aborigène,feminine,French
Aborigène,feminine,French
abrasion,feminine,French
abrasivité,feminine,French
abêtissement,masculine,French
abime,masculine,French
abîme,masculine,French
abinomn,masculine,French
Abitibien,masculine,French
abjurateur,masculine,French
abkhaze,masculine,French
Abkhaze,masculine,French
Abkhazien,masculine,French
abkhazien,masculine,French
ablatif,masculine,French
able,masculine,French
ablégat,masculine,French
abléphare,masculine,French
ablier,masculine,French
Ablon,masculine,French
abolissement,masculine,French
abolitioniste,masculine,French
abolitionniste,masculine,French
Aboméen,masculine,French
abondement,masculine,French
abonné,masculine,French
abonnissement,masculine,French
abord,masculine,French
abordage,masculine,French
abordeur,masculine,French
abords,masculine,French
abréaction,feminine,French
abréviation,feminine,French
abricotine,feminine,French
abrine,feminine,French
abrogation,feminine,French
abrutie,feminine,French
Abruzzaise,feminine,French
abscisse,feminine,French
abscission,feminine,French
abside,feminine,French
absolution,feminine,French
absolutiste,feminine,French
absorbabilité,feminine,French
absoute,feminine,French
abstention,feminine,French
abstraction,feminine,French
absurdie,feminine,French
absurdité,feminine,French
abuseuse,feminine,French
Abyssinie,feminine,French
académicienne,feminine,French
académie,feminine,French
académisme,feminine,French
académiste,feminine,French
Acadie,feminine,French
aborigène,masculine,French
Aborigène,masculine,French
abornement,masculine,French
abot,masculine,French
abouchement,masculine,French
aboutement,masculine,French
aboutissant,masculine,French
aboutissement,masculine,French
aboyeur,masculine,French
abrégement,masculine,French
abreuvage,masculine,French
abreuvement,masculine,French
abréviateur,masculine,French
abri,masculine,French
abricotier,masculine,French
abrivent,masculine,French
abrogateur,masculine,French
abrotone,masculine,French
Acadienne,feminine,French
acanthite,feminine,French
acapulcoïte,feminine,French
acariâtreté,feminine,French
Acarnanie,feminine,French
acatalepsie,feminine,French
accalmie,feminine,French
accédante,feminine,French
accélération,feminine,French
accentuation,feminine,French
acceptabilité,feminine,French
acceptation,feminine,French
acception,feminine,French
accessibilité,feminine,French
accession,feminine,French
accessoirisation,feminine,French
accessoiriste,feminine,French
acciaccatura,feminine,French
accidentalité,feminine,French
accidentologie,feminine,French
accise,feminine,French
acclamation,feminine,French
acclimatation,feminine,French
accordailles,feminine,French
accordéoniste,feminine,French
accordiste,feminine,French
accoucheuse,feminine,French
accréditation,feminine,French
accrémentition,feminine,French
accrétion,feminine,French
accro,feminine,French
accrobranche,feminine,French
abrutissement,masculine,French
Abruzzais,masculine,French
absoluteur,masculine,French
absolutif,masculine,French
absolutisme,masculine,French
absolutiste,masculine,French
absorbant,masculine,French
absorbeur,masculine,French
abstentionniste,masculine,French
abstracteur,masculine,French
abus,masculine,French
abuseur,masculine,French
abysse,masculine,French
abyssin,masculine,French
abyssinien,masculine,French
accroche,feminine,French
accumobile,feminine,French
accumulation,feminine,French
accusation,feminine,French
acédie,feminine,French
acéphale,feminine,French
acerbité,feminine,French
acériculture,feminine,French
acescence,feminine,French
acétalisation,feminine,French
acétification,feminine,French
acétonémie,feminine,French
acétylation,feminine,French
acétylcholine,feminine,French
acétylglucosamine,feminine,French
Achaïe,feminine,French
ache,feminine,French
acheteuse,feminine,French
achondroplasie,feminine,French
Achoura,feminine,French
achromaticité,feminine,French
aegagropile,feminine,French
aegirine,feminine,French
ægophonie,feminine,French
ænigme,feminine,French
æquanimité,feminine,French
æquation,feminine,French
æquité,feminine,French
aérification,feminine,French
aéro,feminine,French
aérobase,feminine,French
aérobic,feminine,French
aérobiologie,feminine,French
aérodynamicienne,feminine,French
aérogare,feminine,French
aérologie,feminine,French
aéromodéliste,feminine,French
aéronaute,feminine,French
aéronomie,feminine,French
aéropalynologie,feminine,French
aérophagie,feminine,French
aérophyte,feminine,French
aérostation,feminine,French
æschynite,feminine,French
æsthésie,feminine,French
æstimation,feminine,French
æternité,feminine,French
æthiologie,feminine,French
Æthiopie,feminine,French
Æthiopienne,feminine,French
aethusa,feminine,French
aetiologie,feminine,French
ætiologie,feminine,French
Ætolie,feminine,French
affabulation,feminine,French
affairiste,feminine,French
affaiteuse,feminine,French
affameuse,feminine,French
affectation,feminine,French
affection,feminine,French
affectivité,feminine,French
afféterie,feminine,French
affiche,feminine,French
affichette,feminine,French
affichiste,feminine,French
affileuse,feminine,French
affiliation,feminine,French
affinerie,feminine,French
affinité,feminine,French
affixation,feminine,French
affliction,feminine,French
affluence,feminine,French
affres,feminine,French
affriquée,feminine,French
affusion,feminine,French
affûteuse,feminine,French
Africaine,feminine,French
africanisation,feminine,French
africaniste,feminine,French
africanité,feminine,French
Afrique,feminine,French
agacerie,feminine,French
agamie,feminine,French
agate,feminine,French
agente,feminine,French
ageustie,feminine,French
agglomération,feminine,French
agglutination,feminine,French
aggravation,feminine,French
aggrégation,feminine,French
agilité,feminine,French
agiographie,feminine,French
agitation,feminine,French
