noun,gender,lang
Aalhaut,feminine,German
Aalleiter,feminine,German
Aalsuppe,feminine,German
Aar,feminine,German
Aarmühle,feminine,German
Aasfliege,feminine,German
a,neuter,German
ä,neuter,German
Aalen,neuter,German
Aas,neuter,German
Abarbeiten,neuter,German
Abbauen,neuter,German
Abbeizmittel,neuter,German
Aasseite,feminine,German
Aba,feminine,German
Abalienation,feminine,German
Abalone,feminine,German
Abänderungsklage,feminine,German
Abbaumethode,feminine,German
Abbiegespur,feminine,German
Abbildungstechnologie,feminine,German
Abbreviation,feminine,German
Abdampfrate,feminine,German
Abdampfschale,feminine,German
Abdeckfolie,feminine,German
Abdestillation,feminine,German
Abblenden,neuter,German
Abblitzen,neuter,German
Abbröckeln,neuter,German
Abbügeln,neuter,German
Abdera,neuter,German
Abendgebet,neuter,German
Abdichtung,feminine,German
Abdikation,feminine,German
Abduktion,feminine,German
Abendluft,feminine,German
Abendschule,feminine,German
Aberration,feminine,German
Abfahrt,feminine,German
Abfallverbrennung,feminine,German
Abendrot,neuter,German
Aber,neuter,German
Abessinien,neuter,German
Abführmittel,neuter,German
Abgas,neuter,German
Abgrenzen,neuter,German
Abhalten,neuter,German
Abhängen,neuter,German
Abhäuten,neuter,German
Abholen,neuter,German
Abholzen,neuter,German
Abhören,neuter,German
Abhustemittel,neuter,German
Aal,masculine,German
Aalauge,masculine,German
Aar,masculine,German
Aargau,masculine,German
Aargauer,masculine,German
Aaron,masculine,German
Aaser,masculine,German
Aasfresser,masculine,German
Abgasturbine,feminine,German
Abgeordnete,feminine,German
Abgesandte,feminine,German
Abgötterei,feminine,German
Abkapselung,feminine,German
Abi,neuter,German
Abiturium,neuter,German
Abjagen,neuter,German
Abknicken,neuter,German
Abkupfern,neuter,German
Ablassventil,neuter,German
Ablösen,neuter,German
Abmagern,neuter,German
Abmelden,neuter,German
Abmelken,neuter,German
Aasgeier,masculine,German
Abänderer,masculine,German
Abbé,masculine,German
Abbindebeschleuniger,masculine,German
Abbrucharbeiter,masculine,German
Abchase,masculine,German
Abderit,masculine,German
Abdruck,masculine,German
Abecedarier,masculine,German
Abeillekolibri,masculine,German
Abellait,masculine,German
Abendstern,masculine,German
Abenteuerfilm,masculine,German
Abenteurer,masculine,German
Abfall,masculine,German
Abfallbehälter,masculine,German
