noun,gender,lang
a,masculine,Polish
aalen,masculine,Polish
abacysta,masculine,Polish
a,neuter,Polish
abpstwo,neuter,Polish
abradowanie,neuter,Polish
abrenuncjowanie,neuter,Polish
abrogowanie,neuter,Polish
abatacept,masculine,Polish
abażur,masculine,Polish
abażurek,masculine,Polish
abcas,masculine,Polish
abcug,masculine,Polish
abdach,masculine,Polish
abdank,masculine,Polish
abdańczyk,masculine,Polish
abdomen,masculine,Polish
abdruk,masculine,Polish
abduktor,masculine,Polish
abdykacz,masculine,Polish
abecadlarz,masculine,Polish
abecadlnik,masculine,Polish
aberrometr,masculine,Polish
abfal,masculine,Polish
abisal,masculine,Polish
abisyńczyk,masculine,Polish
absolwowanie,neuter,Polish
absorbencjum,neuter,Polish
abstrahowanie,neuter,Polish
absurdalizowanie,neuter,Polish
absurdum,neuter,Polish
abszlusowanie,neuter,Polish
absztyfikowanie,neuter,Polish
abszytowanie,neuter,Polish
acetylowanie,neuter,Polish
achanie,neuter,Polish
achce,neuter,Polish
achcze,neuter,Polish
acylowanie,neuter,Polish
adadżio,neuter,Polish
adadżjo,neuter,Polish
adagio,neuter,Polish
adaptowanie,neuter,Polish
adcytowanie,neuter,Polish
addendum,neuter,Polish
admiralstwo,neuter,Polish
admirowanie,neuter,Polish
adnotowanie,neuter,Polish
adresowanie,neuter,Polish
adverbium,neuter,Polish
adwokactwo,neuter,Polish
adwokatowanie,neuter,Polish
aerofoto,neuter,Polish
ablativus,masculine,Polish
ablatiwus,masculine,Polish
ablegat,masculine,Polish
ablegier,masculine,Polish
ablegierek,masculine,Polish
abolicjonista,masculine,Polish
abonamencik,masculine,Polish
abonent,masculine,Polish
aborcjonalista,masculine,Polish
aborcjonista,masculine,Polish
aborygen,masculine,Polish
aborygenes,masculine,Polish
abrewiator,masculine,Polish
abrotan,masculine,Polish
absenteista,masculine,Polish
agnoskowanie,neuter,Polish
agrawowanie,neuter,Polish
agregatowanie,neuter,Polish
agrolotnictwo,neuter,Polish
aikido,neuter,Polish
akademizowanie,neuter,Polish
akanie,neuter,Polish
akcentowanie,neuter,Polish
akcesorium,neuter,Polish
akcze,neuter,Polish
aklamowanie,neuter,Polish
aklimatyzowanie,neuter,Polish
akroterium,neuter,Polish
aksamicenie,neuter,Polish
aktorowanie,neuter,Polish
aktorstwo,neuter,Polish
aktorzysko,neuter,Polish
aktualizowanie,neuter,Polish
aktywizowanie,neuter,Polish
aktywowanie,neuter,Polish
akumulowanie,neuter,Polish
akuszerstwo,neuter,Polish
akwariarstwo,neuter,Polish
akwarium,neuter,Polish
alarmowanie,neuter,Polish
albedo,neuter,Polish
absolut,masculine,Polish
absolutysta,masculine,Polish
absolwent,masculine,Polish
absorbat,masculine,Polish
abstemiusz,masculine,Polish
abstrakcjonista,masculine,Polish
abstynent,masculine,Polish
absurd,masculine,Polish
absurdalista,masculine,Polish
absurdysta,masculine,Polish
absurdyzm,masculine,Polish
absurdzik,masculine,Polish
absyd,masculine,Polish
absynt,masculine,Polish
abszyd,masculine,Polish
abszyt,masculine,Polish
abślag,masculine,Polish
abślak,masculine,Polish
abulik,masculine,Polish
abaja,feminine,Polish
abalienacja,feminine,Polish
abaljenacja,feminine,Polish
abatysa,feminine,Polish
abazja,feminine,Polish
abbacja,feminine,Polish
abbatyssa,feminine,Polish
abderytka,feminine,Polish
abdominoplastyka,feminine,Polish
abdukcja,feminine,Polish
abdykacya,feminine,Polish
abecadłowość,feminine,Polish
aberracyjność,feminine,Polish
abhorescencja,feminine,Polish
abietyna,feminine,Polish
abiogeneza,feminine,Polish
abiologia,feminine,Polish
alegoryzowanie,neuter,Polish
alegowanie,neuter,Polish
alembikowanie,neuter,Polish
alergizowanie,neuter,Polish
alfresko,neuter,Polish
algorytmizowanie,neuter,Polish
alibi,neuter,Polish
alienowanie,neuter,Polish
alimentowanie,neuter,Polish
alko,neuter,Polish
alkoholowanie,neuter,Polish
alleluja,neuter,Polish
alniko,neuter,Polish
alodium,neuter,Polish
alokowanie,neuter,Polish
alternowanie,neuter,Polish
alterowanie,neuter,Polish
aluminiowanie,neuter,Polish
aluminium,neuter,Polish
aluwium,neuter,Polish
ambasadorostwo,neuter,Polish
ambu,neuter,Polish
ambulatorium,neuter,Polish
amerykanizowanie,neuter,Polish
amianto,neuter,Polish
amnestiowanie,neuter,Polish
amoniakowanie,neuter,Polish
abunan,masculine,Polish
abutilon,masculine,Polish
abys,masculine,Polish
abysal,masculine,Polish
acan,masculine,Polish
accusativus,masculine,Polish
acefal,masculine,Polish
acenaften,masculine,Polish
acenokumarol,masculine,Polish
acetal,masculine,Polish
acetamid,masculine,Polish
acetator,masculine,Polish
acetofenon,masculine,Polish
acetogliceryd,masculine,Polish
acetometr,masculine,Polish
acetyl,masculine,Polish
acetylen,masculine,Polish
achatek,masculine,Polish
achates,masculine,Polish
Achilles,masculine,Polish
achondryt,masculine,Polish
achroit,masculine,Polish
achtel,masculine,Polish
achtelek,masculine,Polish
achtentel,masculine,Polish
achterpik,masculine,Polish
achtersztag,masculine,Polish
acpan,masculine,Polish
acydofil,masculine,Polish
acydofit,masculine,Polish
adamantan,masculine,Polish
adamantyn,masculine,Polish
adamas,masculine,Polish
adamaszek,masculine,Polish
abisynka,feminine,Polish
abiturientka,feminine,Polish
abiudykacja,feminine,Polish
abiurata,feminine,Polish
abjetyna,feminine,Polish
abjuracja,feminine,Polish
abjuracya,feminine,Polish
ablatywność,feminine,Polish
ablucya,feminine,Polish
abłaucha,feminine,Polish
aborcjonistka,feminine,Polish
aborterka,feminine,Polish
abrakadabra,feminine,Polish
abrazja,feminine,Polish
abrazyjność,feminine,Polish
abrenuncjacja,feminine,Polish
abrewiacya,feminine,Polish
abrewiatura,feminine,Polish
abrewjatura,feminine,Polish
abrogacja,feminine,Polish
abryna,feminine,Polish
abrysa,feminine,Polish
abscysa,feminine,Polish
absencya,feminine,Polish
absencyja,feminine,Polish
absencyjność,feminine,Polish
absolucja,feminine,Polish
absolucya,feminine,Polish
absolucyja,feminine,Polish
absoluta,feminine,Polish
absolutność,feminine,Polish
absolutystka,feminine,Polish
absolutystyczność,feminine,Polish
absolwentka,feminine,Polish
absorbcyjny,feminine,Polish
amortyzowanie,neuter,Polish
amplifikowanie,neuter,Polish
amputowanie,neuter,Polish
anagramowanie,neuter,Polish
analizowanie,neuter,Polish
andrusisko,neuter,Polish
anegdociarstwo,neuter,Polish
anektowanie,neuter,Polish
angażowanie,neuter,Polish
angielszczenie,neuter,Polish
anglizowanie,neuter,Polish
anglofilstwo,neuter,Polish
angobowanie,neuter,Polish
anielątko,neuter,Polish
anihilowanie,neuter,Polish
anime,neuter,Polish
animowanie,neuter,Polish
ankietowanie,neuter,Polish
anodowanie,neuter,Polish
antependium,neuter,Polish
antidotum,neuter,Polish
antropomorfizowanie,neuter,Polish
absorbencja,feminine,Polish
absorpcja,feminine,Polish
absorpcjometria,feminine,Polish
absorpcyjność,feminine,Polish
absta,feminine,Polish
abstencja,feminine,Polish
abstrakcja,feminine,Polish
abstrakcjonistka,feminine,Polish
abstrakcya,feminine,Polish
abstrakcyjność,feminine,Polish
abstynencya,feminine,Polish
abstynencyja,feminine,Polish
abstynentka,feminine,Polish
absurdalność,feminine,Polish
abugida,feminine,Polish
acerola,feminine,Polish
acetonemia,feminine,Polish
acetonemja,feminine,Polish
acetonuria,feminine,Polish
acetonurja,feminine,Polish
acetylacja,feminine,Polish
acetylenownia,feminine,Polish
acetyloceluloza,feminine,Polish
acetylodigitoksyna,feminine,Polish
acetyloesteraza,feminine,Polish
acetylogalaktoza,feminine,Polish
acetyloglikozamina,feminine,Polish
acetylohydrolaza,feminine,Polish
acetylopirydyna,feminine,Polish
acetylotransferaza,feminine,Polish
achalazja,feminine,Polish
achileina,feminine,Polish
achondroplazja,feminine,Polish
achromatopsja,feminine,Polish
achromatyczność,feminine,Polish
achromatyna,feminine,Polish
achromatyzacja,feminine,Polish
achroniczność,feminine,Polish
acydoza,feminine,Polish
acydymetria,feminine,Polish
adaptabilność,feminine,Polish
adaptacyjność,feminine,Polish
adaptatywność,feminine,Polish
adaptowalność,feminine,Polish
adcytacya,feminine,Polish
addycja,feminine,Polish
addycya,feminine,Polish
a,neuter,Polish
abpstwo,neuter,Polish
abradowanie,neuter,Polish
abrenuncjowanie,neuter,Polish
abrogowanie,neuter,Polish
absolwowanie,neuter,Polish
absorbencjum,neuter,Polish
abstrahowanie,neuter,Polish
absurdalizowanie,neuter,Polish
absurdum,neuter,Polish
abszlusowanie,neuter,Polish
absztyfikowanie,neuter,Polish
abszytowanie,neuter,Polish
acetylowanie,neuter,Polish
achanie,neuter,Polish
achce,neuter,Polish
achcze,neuter,Polish
acylowanie,neuter,Polish
adadżio,neuter,Polish
adadżjo,neuter,Polish
adagio,neuter,Polish
adaptowanie,neuter,Polish
adcytowanie,neuter,Polish
addendum,neuter,Polish
admiralstwo,neuter,Polish
admirowanie,neuter,Polish
adnotowanie,neuter,Polish
adresowanie,neuter,Polish
adverbium,neuter,Polish
adwokactwo,neuter,Polish
adwokatowanie,neuter,Polish
aerofoto,neuter,Polish
baba,feminine,Polish
babcia,feminine,Polish
babica,feminine,Polish
babina,feminine,Polish
babinka,feminine,Polish
babizna,feminine,Polish
babka,feminine,Polish
babula,feminine,Polish
babuśka,feminine,Polish
agnoskowanie,neuter,Polish
agrawowanie,neuter,Polish
agregatowanie,neuter,Polish
agrolotnictwo,neuter,Polish
aikido,neuter,Polish
akademizowanie,neuter,Polish
akanie,neuter,Polish
akcentowanie,neuter,Polish
akcesorium,neuter,Polish
akcze,neuter,Polish
aklamowanie,neuter,Polish
aklimatyzowanie,neuter,Polish
akroterium,neuter,Polish
aksamicenie,neuter,Polish
aktorowanie,neuter,Polish
aktorstwo,neuter,Polish
aktorzysko,neuter,Polish
aktualizowanie,neuter,Polish
aktywizowanie,neuter,Polish
aktywowanie,neuter,Polish
akumulowanie,neuter,Polish
akuszerstwo,neuter,Polish
akwariarstwo,neuter,Polish
akwarium,neuter,Polish
alarmowanie,neuter,Polish
albedo,neuter,Polish
alegoryzowanie,neuter,Polish
alegowanie,neuter,Polish
alembikowanie,neuter,Polish
alergizowanie,neuter,Polish
alfresko,neuter,Polish
algorytmizowanie,neuter,Polish
alibi,neuter,Polish
alienowanie,neuter,Polish
alimentowanie,neuter,Polish
alko,neuter,Polish
alkoholowanie,neuter,Polish
alleluja,neuter,Polish
alniko,neuter,Polish
alodium,neuter,Polish
alokowanie,neuter,Polish
alternowanie,neuter,Polish
bachantka,feminine,Polish
bachorza,feminine,Polish
bacówka,feminine,Polish
baczmaga,feminine,Polish
baczność,feminine,Polish
badawja,feminine,Polish
badmintonistka,feminine,Polish
badylarka,feminine,Polish
bagietka,feminine,Polish
bagnica,feminine,Polish
bagniczka,feminine,Polish
baja,feminine,Polish
bajadera,feminine,Polish
bajaderka,feminine,Polish
bajarka,feminine,Polish
bajczarka,feminine,Polish
bajdura,feminine,Polish
bajeczka,feminine,Polish
alterowanie,neuter,Polish
aluminiowanie,neuter,Polish
aluminium,neuter,Polish
aluwium,neuter,Polish
ambasadorostwo,neuter,Polish
ambu,neuter,Polish
ambulatorium,neuter,Polish
amerykanizowanie,neuter,Polish
amianto,neuter,Polish
amnestiowanie,neuter,Polish
amoniakowanie,neuter,Polish
amortyzowanie,neuter,Polish
amplifikowanie,neuter,Polish
amputowanie,neuter,Polish
anagramowanie,neuter,Polish
analizowanie,neuter,Polish
andrusisko,neuter,Polish
anegdociarstwo,neuter,Polish
anektowanie,neuter,Polish
angażowanie,neuter,Polish
angielszczenie,neuter,Polish
anglizowanie,neuter,Polish
anglofilstwo,neuter,Polish
angobowanie,neuter,Polish
anielątko,neuter,Polish
anihilowanie,neuter,Polish
anime,neuter,Polish
animowanie,neuter,Polish
ankietowanie,neuter,Polish
anodowanie,neuter,Polish
antependium,neuter,Polish
antidotum,neuter,Polish
antropomorfizowanie,neuter,Polish
bajeczność,feminine,Polish
bajęda,feminine,Polish
bajka,feminine,Polish
bajkowość,feminine,Polish
bajroniczność,feminine,Polish
bajronistka,feminine,Polish
bajzelmama,feminine,Polish
bakburta,feminine,Polish
bakista,feminine,Polish
baklava,feminine,Polish
bakteria,feminine,Polish
bakteriemia,feminine,Polish
bakterioliza,feminine,Polish
bakteriolizyna,feminine,Polish
bakteriolog,feminine,Polish
bakterioryza,feminine,Polish
bakterioza,feminine,Polish
balanga,feminine,Polish
balangowiczka,feminine,Polish
balansówka,feminine,Polish
baletka,feminine,Polish
balia,feminine,Polish
balista,feminine,Polish
balistokardiografia,feminine,Polish
balistyka,feminine,Polish
ballada,feminine,Polish
balladzistka,feminine,Polish
balownica,feminine,Polish
balsaminka,feminine,Polish
Caban,feminine,Polish
calizna,feminine,Polish
calówka,feminine,Polish
całka,feminine,Polish
capiga,feminine,Polish
cebula,feminine,Polish
cebulica,feminine,Polish
cebulka,feminine,Polish
cecha,feminine,Polish
cegła,feminine,Polish
cela,feminine,Polish
celebracja,feminine,Polish
celebrytka,feminine,Polish
celiakia,feminine,Polish
celowość,feminine,Polish
celuloza,feminine,Polish
cembrowina,feminine,Polish
cementacja,feminine,Polish
cena,feminine,Polish
centrolewica,feminine,Polish
centroprawica,feminine,Polish
centuria,feminine,Polish
cenzura,feminine,Polish
cepiga,feminine,Polish
cera,feminine,Polish
ceramika,feminine,Polish
cerata,feminine,Polish
ceratka,feminine,Polish
ceremonia,feminine,Polish
cesarzowa,feminine,Polish
cewka,feminine,Polish
cezura,feminine,Polish
cętka,feminine,Polish
chabanina,feminine,Polish
chabeta,feminine,Polish
chadecja,feminine,Polish
chała,feminine,Polish
chałka,feminine,Polish
chałtura,feminine,Polish
chałupina,feminine,Polish
chałupka,feminine,Polish
chamera,feminine,Polish
chamka,feminine,Polish
chandra,feminine,Polish
charakteryzacja,feminine,Polish
charcica,feminine,Polish
charciczka,feminine,Polish
charyzma,feminine,Polish
chata,feminine,Polish
chatka,feminine,Polish
chcica,feminine,Polish
chciwość,feminine,Polish
cheerleaderka,feminine,Polish
chemia,feminine,Polish
chemiczka,feminine,Polish
chemik,feminine,Polish
chemiluminescencja,feminine,Polish
chęć,feminine,Polish
chętka,feminine,Polish
chimera,feminine,Polish
chinina,feminine,Polish
chińszczyzna,feminine,Polish
chirurgia,feminine,Polish
chityna,feminine,Polish
chlebodawczyni,feminine,Polish
chlewnia,feminine,Polish
chluba,feminine,Polish
chłodnia,feminine,Polish
chłodnica,feminine,Polish
chłodziarka,feminine,Polish
chłonka,feminine,Polish
chłosta,feminine,Polish
babsko,neuter,Polish
bachnięcie,neuter,Polish
baczenie,neuter,Polish
badylarstwo,neuter,Polish
badziewie,neuter,Polish
bagienko,neuter,Polish
bagnecisko,neuter,Polish
bagnisko,neuter,Polish
bagno,neuter,Polish
bagnoznawstwo,neuter,Polish
bagrowanie,neuter,Polish
bagrowisko,neuter,Polish
bajdurzenie,neuter,Polish
bajeranctwo,neuter,Polish
bajorzysko,neuter,Polish
bakanie,neuter,Polish
bakierowanie,neuter,Polish
balastowanie,neuter,Polish
baldachogrono,neuter,Polish
balotowanie,neuter,Polish
bałaganiarstwo,neuter,Polish
bałykowanie,neuter,Polish
bandżo,neuter,Polish
bankructwo,neuter,Polish
banowanie,neuter,Polish
barachło,neuter,Polish
baranisko,neuter,Polish
barbarzyństwo,neuter,Polish
barbecue,neuter,Polish
barwidło,neuter,Polish
bastowanie,neuter,Polish
batikowanie,neuter,Polish
batożenie,neuter,Polish
bawidełko,neuter,Polish
bawolę,neuter,Polish
bazgranie,neuter,Polish
bazgrolenie,neuter,Polish
be,neuter,Polish
beatyfikowanie,neuter,Polish
bebeszenie,neuter,Polish
becikowe,neuter,Polish
bekanie,neuter,Polish
beknięcie,neuter,Polish
bekowisko,neuter,Polish
beletryzowanie,neuter,Polish
bełtanie,neuter,Polish
beneficjum,neuter,Polish
berło,neuter,Polish
bestiarium,neuter,Polish
bezeceństwo,neuter,Polish
bezguście,neuter,Polish
bezkobiecie,neuter,Polish
bezkrólewie,neuter,Polish
bezprawie,neuter,Polish
bębnienie,neuter,Polish
biadanie,neuter,Polish
białoskórnictwo,neuter,Polish
bibliofilstwo,neuter,Polish
bibliotekarstwo,neuter,Polish
bibliotekoznawstwo,neuter,Polish
biblioznawstwo,neuter,Polish
bicie,neuter,Polish
biczowanie,neuter,Polish
biczysko,neuter,Polish
bidaczysko,neuter,Polish
biednienie,neuter,Polish
biedowanie,neuter,Polish
biedzenie,neuter,Polish
bieganie,neuter,Polish
bielactwo,neuter,Polish
bielenie,neuter,Polish
bielidło,neuter,Polish
baba,masculine,Polish
babiarz,masculine,Polish
babimór,masculine,Polish
babiniec,masculine,Polish
baca,masculine,Polish
dachówka,feminine,Polish
dacza,feminine,Polish
dafnia,feminine,Polish
dalekowzroczność,feminine,Polish
dalia,feminine,Polish
Damrot,feminine,Polish
damulka,feminine,Polish
bachor,masculine,Polish
bachorek,masculine,Polish
bachorz,masculine,Polish
bachórz,masculine,Polish
bachur,masculine,Polish
bachurek,masculine,Polish
baciar,masculine,Polish
